book_title,author,quantity_sold,price
The Shadow of the Wind,Carlos Ruiz Zafon,2,13.99
1984,George Orwell,10,8.99
To Kill a Mockingbird,Harper Lee,5,15.99
The Lord of the Rings,J.R.R. Tolkien,16,34.99
Pride and Prejudice,Jane Austen,8,6.99
Harry Potter and the Sorcerer's Stone, J.K. Rowling,5,9.99
The Great Gatsby,F. Scott Fitzgerald,3,5.99
One Hundred Years of Solitude,Gabriel Garcia Marquez,6,11.99
The Catcher in the Rye,J.D. Salinger,3,7.99
The Hitchhiker's Guide to the Galaxy,Douglas Adams,12,9.99
